Data,BB_Centro_20,BB_Superior_20_2,BB_Inferior_20_2
2023-01-25,13.970000000000002,15.453097753814284,12.486902246185721
2023-01-26,14.0095,15.540629270213916,12.478370729786082
2023-01-27,14.0415,15.586165182593408,12.49683481740659
2023-01-30,14.121500000000001,15.596673852377199,12.646326147622803
2023-01-31,14.227,15.55001251137837,12.903987488621631
2023-02-01,14.3025,15.507365137681617,13.097634862318383
2023-02-02,14.320500000000001,15.4856153094055,13.155384690594502
2023-02-03,14.3505,15.448008661996997,13.252991338003003
2023-02-06,14.404500000000002,15.431923450856056,13.377076549143949
2023-02-07,14.448000000000002,15.408868028618706,13.487131971381299
2023-02-08,14.498,15.406384337856888,13.58961566214311
2023-02-09,14.5345,15.40641199459368,13.662588005406318
2023-02-10,14.595499999999998,15.451057066908678,13.739942933091317
2023-02-13,14.6735,15.425039472647919,13.921960527352082
2023-02-14,14.706999999999999,15.47428091335608,13.939719086643917
2023-02-15,14.754499999999998,15.501775049764502,14.007224950235495
2023-02-16,14.783499999999998,15.55188244315439,14.015117556845606
2023-02-17,14.785500000000003,15.555584752683973,14.015415247316032
2023-02-22,14.756499999999999,15.510723895279822,14.002276104720176
2023-02-23,14.754999999999999,15.506881849621346,14.003118150378652
2023-02-24,14.727499999999997,15.444096487792347,14.010903512207648
2023-02-27,14.726499999999998,15.442608636275187,14.010391363724809
2023-02-28,14.7155,15.452705962794314,13.978294037205687
2023-03-01,14.703,15.458836239573873,13.947163760426125
2023-03-02,14.6625,15.491040250904543,13.833959749095456
2023-03-03,14.662,15.49083812145647,13.833161878543532
2023-03-06,14.703,15.443273064839493,13.962726935160505
2023-03-07,14.711500000000001,15.422563695422507,14.000436304577494
2023-03-08,14.700999999999999,15.425689407154987,13.97631059284501
2023-03-09,14.691999999999998,15.43151904711993,13.952480952880066
2023-03-10,14.6615,15.441871706304465,13.881128293695536
2023-03-13,14.6125,15.50555802251561,13.719441977484392
2023-03-14,14.5285,15.53002042310443,13.526979576895569
2023-03-15,14.431000000000001,15.54681737800286,13.315182621997142
2023-03-16,14.3335,15.536851022857034,13.130148977142968
